genome	Clade1	type	Subclade	Family	Genus	Species	original_Subclade	original_Subgroup	original_Family	original_Genus	original_Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source	Subclade_assignment_confidence	Family_assignment_confidence	Genus_assignment_confidence	Species_assignment_confidence	Family_bac120_crown_node	Family_SAR11_165_crown_node	Subclade_bac120_crown_node	Subclade_SAR11_165_crown_node	Genus_bac120_crown_node	Genus_SAR11_165_crown_node	Family_bac120_crown_support	Family_SAR11_165_crown_support	Subclade_bac120_crown_support	Subclade_SAR11_165_crown_support	Genus_bac120_crown_support	Genus_SAR11_165_crown_support	Family_dual_tree_support	Subclade_dual_tree_support	Genus_dual_tree_support	species_reference_genome	ANI_to_species_reference	AAI_to_species_reference
AG-390-J21	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	788	782	788	782	788	782	0.93	0.99	0.93	0.99	0.93	0.99	0.93	0.93	0.93	NA	NA	NA
AG-894-B07	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-447-N18	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-919-L02	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1437	I	isolate	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	aumakalihii	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	akoakoaensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-905-E10	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	794	779	794	779	794	779	0.74	0.87	0.74	0.87	0.74	0.87	0.74	0.74	0.74	NA	NA	NA
AG-917-K06	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1863	I	isolate	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-287-G05	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-321-M13	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-321-D17	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB2104	I	isolate	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB2200	I	isolate	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-918-G06	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB2215	I	isolate	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-919-C02	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB2204	I	isolate	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-891-C15	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-896-K10	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-903-F09	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-903-O08	I	SAG	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1402	I	isolate	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1838	I	isolate	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1835	I	isolate	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-917-O20	I	SAG	NA	Pelagibacteraceae	NA	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	778	794	NA	NA	NA	NA	0.89	0.88	NA	NA	NA	NA	0.88	NA	NA	NA	NA	NA
AG-905-G04	I	SAG	NA	Pelagibacteraceae	NA	NA	Ia.4	Ia.4.II	Pelagibacteraceae	Lacunapelagibacter	NA	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	778	767	NA	NA	NA	NA	0.89	1	NA	NA	NA	NA	0.89	NA	NA	NA	NA	NA
HIMB1483	I	isolate	Ia.4.N1	Pelagibacteraceae	Alipelagibacter	loemeaikii	Ia.4	Ia.4.N4	Pelagibacteraceae	Semelpelagibacter	loemeaikii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-359-D09	I	SAG	Ia.4.N4	Pelagibacteraceae	Punctipelagibacter	variabilis	Ia.4	Ia.4.N4	Pelagibacteraceae	Punctumpelagibacter	variabilis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-321-L23	I	SAG	Ia.4.N4	Pelagibacteraceae	Punctipelagibacter	NA	Ia.4	Ia.4.N4	Pelagibacteraceae	Punctumpelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-321-P04	I	SAG	Ia.4.N4	Pelagibacteraceae	Punctipelagibacter	NA	Ia.4	Ia.4.N4	Pelagibacteraceae	Punctumpelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-896-C18	I	SAG	NA	Pelagibacteraceae	NA	NA	Ia.4	Ia.4.N4	Pelagibacteraceae	Punctumpelagibacter	NA	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	760	802	NA	NA	NA	NA	0.82	1	NA	NA	NA	NA	0.82	NA	NA	NA	NA	NA
AG-390-E04	I	SAG	NA	Pelagibacteraceae	NA	NA	Ia.4	Ia.4.N4	Pelagibacteraceae	Punctumpelagibacter	NA	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	759	802	NA	NA	NA	NA	0.94	1	NA	NA	NA	NA	0.94	NA	NA	NA	NA	NA
AH-287-E08	I	SAG	NA	Pelagibacteraceae	NA	NA	Ia.4	Ia.4.N4	Pelagibacteraceae	Punctumpelagibacter	NA	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	759	802	NA	NA	NA	NA	0.94	1	NA	NA	NA	NA	0.94	NA	NA	NA	NA	NA
AG-422-C13	I	SAG	NA	Pelagibacteraceae	NA	NA	Ia.4	Ia.4.N4	Pelagibacteraceae	Punctumpelagibacter	NA	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	759	802	NA	NA	NA	NA	0.94	1	NA	NA	NA	NA	0.94	NA	NA	NA	NA	NA
AG-337-D17	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-897-G15	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RS39	I	isolate	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-447-F10	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-907-C04	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-896-L20	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-916-A16	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-909-J05	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	728	732	728	732	728	732	0.97	1	0.97	1	0.97	1	0.97	0.97	0.97	NA	NA	NA
AG-893-I20	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	732	735	732	735	732	735	0.93	1	0.93	1	0.93	1	0.93	0.93	0.93	NA	NA	NA
AG-899-J23	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1436	I	isolate	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	marisrubii	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	marisrubii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-909-G08	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-359-G22	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	736	737	736	737	736	737	1	1	1	1	1	1	1	1	1	NA	NA	NA
AG-447-P22	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-426-D09	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-910-B05	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-894-K14	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-911-E04	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	738	723	738	723	738	723	0.98	1	0.98	1	0.98	1	0.98	0.98	0.98	NA	NA	NA
HIMB2226	I	isolate	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-447-B22	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	741	741	741	741	741	741	1	0.94	1	0.94	1	0.94	0.94	0.94	0.94	NA	NA	NA
AG-919-O02	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-287-J18	I	SAG	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB2187	I	isolate	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-919-A21	I	SAG	NA	Pelagibacteraceae	NA	NA	Ia.4	Ia.4.N5	Pelagibacteraceae	Tantilluspelagibacter	NA	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	721	717	NA	NA	NA	NA	0.96	1	NA	NA	NA	NA	0.96	NA	NA	NA	NA	NA
AG-895-K10	I	SAG	Ia.4.N6	Pelagibacteraceae	Colligatipelagibacter	wilhelmii	Ia.4	Ia.4.N6	Pelagibacteraceae	Colligopelagibacter	wilhelmii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-899-M07	I	SAG	Ia.4.N6	Pelagibacteraceae	Colligatipelagibacter	NA	Ia.4	Ia.4.N6	Pelagibacteraceae	Colligopelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-905-A07	I	SAG	Ia.4.N6	Pelagibacteraceae	Colligatipelagibacter	NA	Ia.4	Ia.4.N6	Pelagibacteraceae	Colligopelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-919-F03	I	SAG	Ia.4.N6	Pelagibacteraceae	Colligatipelagibacter	NA	Ia.4	Ia.4.N6	Pelagibacteraceae	Colligopelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BACL5_MAG-120820-bin39	I	MAG	NA	Pelagibacteraceae	NA	NA	Ia.5	Ia.5	Pelagibacteraceae	NA	NA	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	553	553	NA	NA	NA	NA	0.99	1	NA	NA	NA	NA	0.99	NA	NA	NA	NA	NA
BACL5_MAG-121015-bin10	I	MAG	NA	Pelagibacteraceae	NA	NA	Ia.5	Ia.5	Pelagibacteraceae	NA	NA	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	553	553	NA	NA	NA	NA	0.99	1	NA	NA	NA	NA	0.99	NA	NA	NA	NA	NA
Baikal-G1	I	MAG	NA	Pelagibacteraceae	NA	NA	Ia.5	Ia.5	Pelagibacteraceae	NA	NA	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	553	553	NA	NA	NA	NA	0.99	1	NA	NA	NA	NA	0.99	NA	NA	NA	NA	NA
AG-899-B09	I	SAG	Ib.1	Pelagibacteraceae	Superipelagibacter	NA	Ib.1	Ib.1.I	Pelagibacteraceae	Superopelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
